Summary,Melange Notes,Time to Complete (Hours),Mentor IDs,Difficulty,Categories,Task Tags,Id,Multple,Additional Notes (to be put in Melange),AllLabels
Translate our webpage to Bulgarian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,krastanov,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Translate our webpage to Russian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,proga_goodok_ru,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Translate our webpage to Serbian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,vperic,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Flesh out the SymPy Papers wiki page,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2800"">http://code.google.com/p/sympy/issues/detail?id=2800</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Outreach,"Python,   ",2800,,,"CodeInCategory-Outreach, CodeInDifficulty-Easy, Priority-Medium, Type-Defect"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Add more tips to the tips page (10 tips),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2806"">http://code.google.com/p/sympy/issues/detail?id=2806</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): As the tips page grows, try to keep it organized.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2806,,"As the tips page grows, try to keep it organized.","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
"Parts of the pyglet plotting module does not follow PEP 8, fix it","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2815"">http://code.google.com/p/sympy/issues/detail?id=2815</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     ",2815,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Type-Defect"
Make sure all the built-in __methods__ are defined,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2817"">http://code.google.com/p/sympy/issues/detail?id=2817</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     ",2817,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Type-Defect"
checkodesol() should use force=True,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2830"">http://code.google.com/p/sympy/issues/detail?id=2830</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     ",2830,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Type-Defect"
Move the KroneckerDelta class to another module ,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2838"">http://code.google.com/p/sympy/issues/detail?id=2838</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     Quantum, ",2838,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Quantum, Type-Defect"
Integral.transform should allow a change to a different variable,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2846"">http://code.google.com/p/sympy/issues/detail?id=2846</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,   Integration,  ",2846,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, Integration, Priority-Medium, Type-Defect"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Pretty print Product,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2636"">http://code.google.com/p/sympy/issues/detail?id=2636</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Do not attempt to solve this until the task for issue 2639 is fixed.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,  Concrete, Printing,  ",2636,,Do not attempt to solve this until the task for issue 2639 is fixed.,"CodeInCategory-Code, CodeInDifficulty-Easy, Concrete, Printing, Priority-Medium, Type-Enhancement"
Fix the occasions where functions are called with wrong name and write tests,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=615"">http://code.google.com/p/sympy/issues/detail?id=615</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,      ",615,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, NeedsBetterPatch, Priority-High, Type-Defect"
Remove dead code from _eval_subs(),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=654"">http://code.google.com/p/sympy/issues/detail?id=654</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,    Matching,  ",654,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Matching, Priority-Medium, Type-Defect"
Square root denesting,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=93"">http://code.google.com/p/sympy/issues/detail?id=93</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Code,"Python,    ",93,,,"CodeInCategory-Code, CodeInDifficulty-Hard, GHOP, Priority-Medium, Type-Enhancement"
bin/test --random should also shuffle tests inside a file,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1594"">http://code.google.com/p/sympy/issues/detail?id=1594</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): This can only be done after issue 1594 is resolved.",144,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Hard,QualityAssurance,"   Testing, ",1594,,This can only be done after issue 1594 is resolved.,"CodeInCategory-QA, CodeInDifficulty-Easy, Priority-Medium, Testing, Type-Defect"
SymPy Cheat Sheet,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1817"">http://code.google.com/p/sympy/issues/detail?id=1817</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",1817,,,"CodeInCategory-Training, CodeInDifficulty-Hard, Documentation, Priority-Medium, Type-Enhancement"
Objects that know how to combine themselves,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1941"">http://code.google.com/p/sympy/issues/detail?id=1941</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Research,"Python,   ",1941,,,"CodeInCategory-Research, CodeInDifficulty-Hard, Priority-Medium, Type-Enhancement"
LaTeX input,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2319"">http://code.google.com/p/sympy/issues/detail?id=2319</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Code,"Python,   ",2319,,,"CodeInCategory-Code, CodeInDifficulty-Hard, Priority-Medium, Type-Enhancement"
live.sympy.org isn't so easy to use on a mobile device,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2521"">http://code.google.com/p/sympy/issues/detail?id=2521</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,User Interface,"Python,  Live,  ",2521,,,"CodeInCategory-UI, CodeInDifficulty-Hard, Live, Priority-Medium, Type-Defect"
"Piecewise should use a different syntax for ""otherwise""","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2626"">http://code.google.com/p/sympy/issues/detail?id=2626</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Code,"Python,    ",2626,,,"CodeInCategory-Code, CodeInDifficulty-Hard, Milestone-Release0.7.2, Priority-High, Type-Defect"
"Research ways to do the assumptions system, including removing the old system","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2765"">http://code.google.com/p/sympy/issues/detail?id=2765</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Research,"Python,Assumptions,    ",2765,,,"Assumptions, CodeInCategory-Research, CodeInDifficulty-Hard, Priority-Medium, Type-Defect"
Add a feed of what people are doing at SymPy Live,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2768"">http://code.google.com/p/sympy/issues/detail?id=2768</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): It would be cool to have a little feed at the right on live.sympy.org to show what other people are entering, so that people can see what sorts of things are being done.  Of course, you should be able to disable this for your own entries, for privacy reasons.  It should allow you to input the same expression in your session and execute it.",144,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Hard,User Interface,"  Live,  ",2768,,"It would be cool to have a little feed at the right on live.sympy.org to show what other people are entering, so that people can see what sorts of things are being done.  Of course, you should be able to disable this for your own entries, for privacy reasons.  It should allow you to input the same expression in your session and execute it.","CodeInCategory-UI, CodeInDifficulty-Hard, Live, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Maple,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Mathematica,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Matlab,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Maxima,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Axiom,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Magma,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Write a document showing the difference between SymPy and other mathematical systems: Sage,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,,"CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
